Sample	ic50
Control	31256.52
Control	31284.27
Control	31312.04
Control	31338.15
Control	31383.96
Control	31481.56
Control	31562.73
Control	31562.73
Control	31604.08
Control	31671.52
Control	31713.35
Control	31772.41
Control	31837.11
Control	31894.69
Control	31915.41
Control	31959.98
Control	31962.06
Control	31973.81
Control	31997.7
Control	32006
Control	32014.32
Control	32089.58
Control	32098.96
Control	32125.71
Control	32145.17
Control	32146.91
Control	32224.23
Control	32244.79
Control	32329.33
Control	32330.73
Control	32334.94
Control	32359.1
Control	32400.07
Control	32440.06
Control	32458.67
Control	32630.52
Control	32631.57
Control	32698.37
Control	32801.12
Control	32947.32
Control	32948.75
Control	32980.12
Control	33017.26
Control	33044.79
Control	33107.75
Control	33109.2
Control	33149.35
Control	33175.53
Control	33190.98
Control	33220.45
Control	33251.35
Control	33394.13
Control	33409.32
Control	33424.15
Control	33428.11
Control	33461.05
Control	33488.21
Control	33510.68
Control	33546.96
Control	33569.46
Control	33577.82
Control	33581.46
Control	33745
Control	33765.81
Control	33786.29
Control	33811.88
Control	33845.56
Control	33910.06
Control	33911.89
Control	33916.31
Control	33918.5
Control	33978.75
Control	33996.77
Control	34018.86
Control	34021.79
Control	34028.79
Control	34042.78
Control	34056.04
Control	34112.84
Control	34121.68
Control	34135.35
Control	34147.18
Control	34195.24
Control	34198.95
Control	34206.34
Control	34206.34
Control	34206.34
Control	34219.66
Control	34277.48
Control	34354.34
Control	34393.01
Control	34472.37
Control	34482.06
Control	34522.76
Control	34674.38
Control	34708.52
Control	34961.05
Control	35006.85
Control	35027.31
Control	35143.86
Control	35262.69
Control	35280.25
Control	35287.12
Control	35325.69
Control	35363.94
Control	35371.21
Control	35428.66
Control	35429.04
Control	35458.19
Control	35470.47
Control	35556.17
Control	35635.88
Control	35639.35
Control	35642.45
Control	35679.09
Control	35680.26
Control	35681.41
Control	35711.91
Control	35721.98
Control	35730.09
Control	35730.87
Control	35829.2
Control	35867.59
Control	35894.39
Control	35904.09
Control	35910.69
Control	35913.42
Control	35937.52
Control	36010.3
Control	36020.05
Control	36027.44
Control	36271.5
Control	36318.64
Control	36324.92
Control	36346.95
Control	36393.77
Control	36397.71
Control	36424.88
Control	36448.94
Control	36454.07
Control	36505.78
Control	36536.98
Control	36552.02
Control	36625.27
Control	36639.51
Control	36669.68
Control	36720.89
Control	36747.11
Control	36761.83
Control	36771.39
Control	36781.73
Control	36866.58
Control	36871.76
Control	36916.47
Control	36923.66
Control	37046.52
Control	37100.27
Control	37195.93
Control	37195.93
Control	37195.93
Control	37204.38
Control	37206.39
Control	37208.41
Control	37270.46
Control	37310.41
Control	37354.45
Control	37402.15
Control	37417.95
Control	37507.51
Control	37536.36
Control	37548.95
Control	37570.89
Control	37582.26
Control	37591.2
Control	37636.39
Control	37684.46
Control	37707.31
Control	37743.64
Control	37771
Control	37782.46
Control	37790.23
Control	37803.32
Control	37824.58
Control	37830.32
Control	37883.15
Control	37935.25
Control	37970.15
Control	38030.17
Control	38075.89
Control	38137.32
Control	38140.62
Control	38148.44
Control	38153
Control	38168.28
Control	38234.4
Control	38242.69
Control	38277.45
Control	38289.48
Control	38319.71
Control	38421.02
Control	38423.1
Control	38434.75
Control	38464.29
Control	38466.77
Control	38514.25
Control	38539.27
Control	38550.11
Control	38560.13
Control	38576.39
Control	38629.42
Control	38671.25
Control	38711.02
Control	38731.97
Control	38755.04
Control	38779.36
Control	38810.84
Control	38831.42
Control	38849.07
Control	38901.65
Control	38910.48
Control	38918.91
Control	38922.7
Control	39058.54
Control	39105.9
Control	39140.62
Control	39159.25
Control	39210.98
Control	39228.38
Control	39272.12
Control	39272.55
Control	39319.74
Control	39351.22
Control	39366.98
Control	39378.92
Control	39396.39
Control	39436.05
Control	39456.96
Control	39488.14
Control	39513.77
Control	39537.3
Control	39541.15
Control	39549.29
Control	39634.54
Control	39642.67
Control	39646.96
Control	39655.12
Control	39660.7
Control	39736.73
Control	39738.02
Control	39742.73
Control	39783.2
Control	39800.83
Control	39810.33
Control	39826.68
Control	39836.6
Control	39846.52
Control	39856.85
Control	39892.67
Control	39897.41
Control	39923.32
Control	39975.19
Control	39989.03
Control	40015.86
Control	40017.18
Control	40018.47
Control	40116.89
Control	40141.2
Control	40172.48
Control	40219.89
Control	40244.25
Control	40259.49
Control	40284.35
Control	40293.05
Control	40298.72
Control	40302.23
Control	40349.77
Control	40365.07
Control	40434.11
Control	40436.75
Control	40493.66
Control	40498.91
Control	40515.14
Control	40553.75
Control	40591.48
Control	40605.09
Control	40605.98
Control	40622.25
Control	40629.71
Control	40641.59
Control	40675.46
Control	40685.59
Control	40686.46
Control	40732.27
Control	40733.16
Control	40756.97
Control	40772.85
Control	40820.52
Control	40820.94
Control	40862.48
Control	40865.59
Control	40881.51
Control	40973.6
Control	40987.79
Control	40987.79
Control	40987.79
Control	41067.25
Control	41123.28
Control	41154.45
Control	41157.11
Control	41173.14
Control	41179.38
Control	41198.11
Control	41205.23
Control	41246.73
Control	41263.68
Control	41325.33
Control	41329.8
Control	41413.96
Control	41461.95
Control	41469.12
Control	41474.95
Control	41476.29
Control	41518.49
Control	41571.09
Control	41616.55
Control	41644.48
Control	41646.27
Control	41667.02
Control	41667.9
Control	41670.62
Control	41692.25
Control	41735.59
Control	41742.38
Control	41749.59
Control	41781.67
Control	41836.86
Control	41871.74
Control	41893.94
Control	41898.94
Control	41942.46
Control	41967.9
Control	41982.44
Control	42031.96
Control	42060.62
Control	42141.26
Control	42163.14
Control	42209.26
Control	42219.77
Control	42249.92
Control	42309.85
Control	42389.11
Control	42390.04
Control	42391.41
Control	42400.13
Control	42424.44
Control	42438.67
Control	42462.11
Control	42510.82
Control	42520.48
Control	42576.64
Control	42621.37
Control	42629.2
Control	42704.46
Control	42715.07
Control	42731.71
Control	42839.12
Control	42840.98
Control	42844.21
Control	42854.88
Control	42884.57
Control	42899.43
Control	42930.53
Control	42989.57
Control	43026.79
Control	43051.94
Control	43203.11
Control	43220.89
Control	43290.62
Control	43347.81
Control	43366.57
Control	43368.45
Control	43388.14
Control	43404.6
Control	43414.45
Control	43481.68
Control	43492.02
Control	43505.68
Control	43528.28
Control	43545.23
Control	43552.31
Control	43554.2
Control	43584.82
Control	43590.95
Control	43598.99
Control	43604.64
Control	43616.91
Control	43662.72
Control	43685.88
Control	43711.41
Control	43720.38
Control	43741.67
Control	43755.89
Control	43766.3
Control	43836.44
Control	43855.89
Control	43879.15
Control	43885.32
Control	43890.53
Control	43988.94
Control	43994.67
Control	44016.1
Control	44046.11
Control	44048.47
Control	44114.31
Control	44189.31
Control	44204.13
Control	44242.41
Control	44334.89
Control	44431.89
Control	44454.97
Control	44490.1
Control	44502.12
Control	44544.54
Control	44546.46
Control	44561.4
Control	44596.13
Control	44602.4
Control	44623.17
Control	44681.14
Control	44711.61
Control	44725.16
Control	44773.56
Control	44780.84
Control	44793.92
Control	44813.8
Control	44841.93
Control	44844.85
Control	44846.3
Control	44880.27
Control	44885.13
Control	44892.42
Control	45084.2
Control	45085.16
Control	45091.53
Control	45168.19
Control	45173.55
Control	45195.05
Control	45200.45
Control	45220.01
Control	45234.68
Control	45237.63
Control	45240.08
Control	45242.04
Control	45247.9
Control	45370.48
Control	45436.3
Control	45454
Control	45472.18
Control	45506.16
Control	45694.63
Control	45778.75
Control	45779.25
Control	45790.65
Control	45813.46
Control	45845.17
Control	45886.38
Control	45887.85
Control	45954.93
Control	45966.37
Control	46017.12
Control	46031.07
Control	46090.87
Control	46094.85
Control	46129.79
Control	46163.25
Control	46178.73
Control	46217.22
Control	46218.71
Control	46260.25
Control	46311.83
Control	46391.08
Control	46420.68
Control	46625.57
Control	46635.16
Control	46643.73
Control	46895.22
Control	46902.33
Control	47093.01
Control	47517.82
M1	280.92
M1	418.03
M1	619.94
M1	772.57
M1	1068.72
M1	2099.32
M1	2540.92
M1	2843.3
M1	3503.36
M1	3789.4
M1	4782.3
M1	4926.25
