Sample	ic50
M10	1398.84
M10	1946.38
M10	2777.23
M10	2812.46
M10	2821.91
M10	3202.63
M10	3466.11
M10	3541.7
M10	3775.16
M10	3858.54
M10	4088.88
M10	4139.41
M10	4304.1
M10	4412.65
M10	4554.68
M10	4644.46
M10	5114.5
M10	5387.08
M10	5534.79
M10	6255.47
M10	6277.1
M10	6791.53
M10	7214.43
M10	7283.92
M10	7347.56
M10	7536.29
M10	7877.79
M10	8622.28
M10	8784.25
M10	8943.44
M10	8992.25
M10	9070.42
M10	9122.88
M10	9125.84
M10	9132.57
M10	9171.48
M10	9556.53
M10	9796.06
M10	9807.93
M10	10094.64
M10	10121
M10	10193.09
M10	10416.41
M10	10448.58
M10	10786.29
M10	10890.31
M10	10929.74
M10	11013.79
M10	11111.33
M10	11174.02
M10	11221.4
M10	11333.54
M10	11363.49
M10	11724.05
M10	11744.24
M10	11816.77
M10	11864.94
M10	12059.98
M10	12179.05
M10	12301.95
M10	12346.36
M10	12419.24
M10	12486.34
M10	12569.57
M10	12744.72
M10	12832.45
M10	12919.65
M10	13008.44
M10	13234.74
M10	13442.56
M10	13482.92
M10	13653.35
M10	13680.71
M10	13778.16
M10	13822.35
M10	13963.96
M10	13974.08
M10	14049.89
M10	14217.33
M10	14299.72
M10	14326.04
M10	14369.36
M10	14418.72
M10	14590.72
M10	14628.19
M10	14655.6
M10	14666.7
M10	14846.8
M10	14948.67
M10	15065.74
M10	15272.87
M10	15282.29
M10	15323.02
M10	15393.48
M10	15562.79
M10	15575.42
M10	15687.04
M10	15716.1
M10	16029.52
M10	16071.01
M10	16198.98
M10	16355.19
M10	16422.93
M10	16584.71
M10	16658.63
M10	16668
M10	16704.47
M10	16707.72
M10	16782.92
M10	16903.55
M10	16951.17
M10	16960.17
M10	16984.22
M10	17037.04
M10	17170.29
M10	17170.66
M10	17242.34
M10	17307.38
M10	17473.71
M10	17479.2
M10	17625.05
M10	17804.25
M10	17885.54
M10	17983.73
M10	18038.88
M10	18175.43
M10	18201.41
M10	18252.68
M10	18333.84
M10	18457.24
M10	18531.27
M10	18614.88
M10	18688.53
M10	18696.62
M10	19009.53
M10	19030.73
M10	19031.55
M10	19058.55
M10	19144.73
M10	19198.87
M10	19214.67
M10	19298.01
M10	19410.46
M10	19419.48
M10	19454.82
M10	19601.45
M10	19614.18
M10	19761.81
M10	19936.84
M10	19999.49
M10	20123.21
M10	20177.28
M10	20184.27
M10	20193.23
M10	20210.49
M10	20329.8
M10	20565.65
M10	20772.05
M10	20815.7
M10	20877.51
M10	20881.57
M10	21083.85
M10	21113.76
M10	21271.97
M10	21467.82
M10	21574.23
M10	21633.6
M10	21638.05
M10	21677.42
M10	21804.91
M10	21811.04
M10	21860.19
M10	21948.82
M10	22076.73
M10	22181.12
M10	22375.89
M10	22476.33
M10	22532.59
M10	22692.11
M10	22755.04
M10	22843.61
M10	22918.36
M10	22980.45
M10	23054.91
M10	23145.89
M10	23176.21
M10	23208.58
M10	23369.34
M10	23744.52
M10	23842.86
M10	23970.12
M10	23996.07
M10	24108.76
M10	24115.81
M10	24194.73
M10	24196.83
M10	24302.03
M10	24306.25
M10	24326.76
M10	25050.62
M10	25095.12
M10	25106.79
M10	25211.33
M10	25252.54
M10	25315.47
M10	25370.04
M10	25374.15
M10	25390.08
M10	25404.1
M10	25452.8
M10	25477.86
M10	25556.28
M10	25569.55
M10	25576.47
M10	25607.21
M10	25615.79
M10	25696.85
M10	25892.78
M10	25937.92
M10	25982.86
M10	26227.75
M10	26265.51
M10	26434.31
M10	26462.91
M10	26463.2
M10	26490.71
M10	26630.36
M10	26720.71
M10	26737.76
M10	26796.56
M10	26857.53
M10	26902.89
M10	26990.65
M10	27045.31
M10	27137.05
M10	27214.4
M10	27244.44
M10	27320.31
M10	27336.56
M10	27511.94
M10	27593.01
M10	27663.27
M10	27711.8
M10	27754.1
M10	27845.25
M10	27966.92
M10	28008.71
M10	28023.87
M10	28042.98
M10	28181.38
M10	28191.43
M10	28195.41
M10	28309.42
M10	28342.83
M10	28372.6
M10	28386.71
M10	28398.71
M10	28536.69
M10	28613.98
M10	28749.9
M10	28834.33
M10	28869.29
M10	28947.48
M10	29037.53
M10	29102.62
M10	29123.72
M10	29166
M10	29223.8
M10	29263.67
M10	29302
M10	29553.86
M10	29571.44
M10	29693.29
M10	29697.14
M10	29766.62
M10	29771.46
M10	29962.77
M10	30007.21
M10	30064.08
M10	30085.88
M10	30089.8
M10	30126.59
M10	30158.88
M10	30159.54
M10	30164.11
M10	30222.26
M10	30327.08
M10	30359.92
M10	30417.46
M10	30419.42
M10	30448.41
M10	30594.7
M10	30614.57
M10	30840.98
M10	30900.43
M10	31128.96
M10	31184.58
M10	31202.46
M10	31219.35
M10	31256.87
M10	31284.27
M10	31367.3
M10	31491.08
M10	31644.79
M10	31655.75
M10	31724.67
M10	31866.07
M10	31919.55
M10	31923.68
M10	32086.1
M10	32187.63
M10	32234.33
M10	32251.78
M10	32258.06
M10	32279.02
M10	32289.14
M10	32324.79
M10	32440.06
M10	32449.9
M10	32475.88
M10	32524.76
M10	32561.02
M10	32608.26
M10	32644.98
M10	32696.24
M10	32852.27
M10	32901.36
M10	33003.34
M10	33004.77
M10	33044.42
M10	33164.77
M10	33252.08
M10	33302.49
M10	33382.94
M10	33409.32
M10	33427.04
M10	33459.23
M10	33568.02
M10	33634.54
M10	33677.15
M10	33756.69
M10	33783
M10	33794.7
M10	33813.34
M10	33815.54
M10	33848.49
M10	33868.27
M10	33918.5
M10	33921.8
M10	33922.92
M10	33946.4
M10	33965.52
M10	34053.82
M10	34073.73
M10	34085.15
M10	34112.09
M10	34183.77
M10	34198.95
M10	34241.52
M10	34247.46
M10	34300.11
M10	34345.42
M10	34448.5
M10	34469.01
M10	34472.37
M10	34533.58
M10	34536.59
M10	34623
M10	34650.37
M10	34748.72
M10	34753.99
M10	34759.25
M10	34842.48
M10	34853.78
M10	34880.58
M10	34921.34
M10	34985.27
M10	35099.4
M10	35166.67
M10	35173.16
M10	35211.99
M10	35212.38
M10	35334.49
M10	35334.88
M10	35416.02
M10	35540.77
M10	35585.42
M10	35589.25
M10	35638.59
M10	35679.09
M10	35698.79
M10	35718.11
M10	35756.39
M10	35771.47
M10	35790.05
M10	35798.96
M10	35855.96
M10	35897.89
M10	35956.57
M10	35966.69
M10	35972.53
M10	36104.31
M10	36124.25
M10	36124.25
M10	36141.84
M10	36145.76
M10	36155.15
M10	36162.57
M10	36163.36
M10	36174.7
M10	36193.88
M10	36326.49
M10	36358.34
M10	36374.48
M10	36433.17
M10	36470.25
M10	36552.4
M10	36553.2
M10	36557.16
M10	36674.43
M10	36676.41
M10	36727.23
M10	36808
M10	36860.61
M10	36928.07
M10	36929.26
M10	36993.26
M10	37018.87
M10	37028.08
M10	37065.38
M10	37088.64
M10	37116.73
M10	37120.35
M10	37135.22
M10	37161.33
M10	37173
M10	37189.5
M10	37335.85
M10	37354.45
M10	37411.05
M10	37426.45
M10	37462.09
M10	37516.85
M10	37528.22
M10	37563.58
M10	37566.82
M10	37600.97
M10	37601.8
M10	37603.42
M10	37609.12
M10	37632.32
M10	37661.64
M10	37715.48
M10	37746.09
M10	37757.54
M10	37785.3
M10	37805.37
M10	37817.63
M10	37911.87
M10	37937.3
M10	37999.32
M10	38121.64
M10	38127.83
M10	38135.26
M10	38159.2
M10	38167.02
M10	38233.17
M10	38317.24
M10	38325.1
M10	38373.65
M10	38397.74
M10	38414.36
M10	38470.93
M10	38506.75
M10	38508.41
M10	38555.95
M10	38575.55
M10	38600.61
M10	38622.75
M10	38633.21
M10	38660.38
M10	38665.81
M10	38681.73
M10	38684.22
M10	38685.89
M10	38731.55
M10	38735.32
M10	38755.44
M10	38757.14
M10	38767.61
M10	38780.19
M10	38793.62
M10	38804.53
M10	38838.55
M10	38862.53
M10	38868
M10	38883.96
M10	38894.5
M10	38901.65
M10	38930.71
M10	38991.39
M10	39009.55
M10	39017.15
M10	39019.69
M10	39080.51
M10	39117.75
M10	39124.95
M10	39133.42
M10	39137.64
M10	39167.73
M10	39169
M10	39213.51
M10	39248.75
M10	39255.96
M10	39264.47
M10	39275.95
M10	39297.2
M10	39343.56
M10	39424.96
M10	39433.91
M10	39454.82
M10	39464.21
M10	39467.21
M10	39480.02
M10	39518.05
M10	39518.05
M10	39527.05
M10	39569.39
M10	39575.82
M10	39578.83
M10	39635.38
M10	39636.69
M10	39655.12
M10	39686.46
M10	39692.48
M10	39740.61
M10	39746.6
M10	39787.92
M10	39822.37
M10	39836.16
M10	39874.98
M10	39888.79
M10	39923.76
M10	39934.99
M10	39936.28
M10	39970.88
M10	40001.59
M10	40012.84
M10	40072.19
M10	40117.31
M10	40173.36
M10	40222.48
M10	40267.78
M10	40290.45
M10	40302.23
M10	40309.63
M10	40364.63
M10	40395.64
M10	40422.75
M10	40457.75
M10	40466.96
M10	40477.45
M10	40485.78
M10	40498.5
M10	40582.26
M10	40594.12
M10	40597.63
M10	40613.89
M10	40646.86
M10	40649.95
M10	40696.14
M10	40718.61
M10	40724.78
M10	40779
M10	40812.57
M10	40812.99
M10	40863.82
M10	40871.34
M10	40915.14
M10	40945.68
M10	40990.46
M10	40996.68
M10	41027.73
M10	41029.5
M10	41035.72
M10	41153.1
M10	41168.7
M10	41229.31
M10	41243.14
M10	41252.98
M10	41286.46
M10	41322.66
M10	41328.02
M10	41331.16
M10	41384.86
M10	41387.1
M10	41412.62
M10	41416.2
M10	41424.27
M10	41431
M10	41435.92
M10	41436.37
M10	41468.67
M10	41477.65
M10	41505.48
M10	41567.04
M10	41573.34
M10	41575.59
M10	41622.41
M10	41683.25
M10	41706.7
M10	41765.4
M10	41826.02
M10	41833.71
M10	41851.36
M10	41855.43
M10	41899.83
M10	41937.49
M10	41961.08
M10	41977.89
M10	42024.7
M10	42035.16
M10	42038.79
M10	42093.4
M10	42117.54
M10	42130.31
M10	42149.47
M10	42175.93
M10	42178.21
M10	42253.11
M10	42254.93
M10	42310.75
M10	42331.36
M10	42342.36
M10	42357.03
M10	42367.11
M10	42437.77
M10	42468.08
M10	42534.74
M10	42608.45
M10	42608.45
M10	42619.97
M10	42623.68
M10	42626.43
M10	42661.96
M10	42684.11
M10	42714.62
M10	42797.9
M10	42822.88
M10	42824.76
M10	42855.35
M10	42870.66
M10	42910.11
M10	42915.2
M10	42916.58
M10	42969.09
M10	42972.36
M10	42985.83
M10	43079.88
M10	43080.83
M10	43090.14
M10	43112.54
M10	43119.99
M10	43149.39
M10	43152.68
M10	43157.8
M10	43163.87
M10	43176.95
M10	43193.3
M10	43201.71
M10	43222.75
M10	43288.28
M10	43335.15
M10	43369.37
M10	43398.5
M10	43425.26
M10	43433.72
M10	43603.69
M10	43628.24
M10	43654.67
M10	43730.81
M10	43769.6
M10	43771.04
M10	43791.88
M10	43913.35
M10	43919.04
M10	43930.91
M10	43932.35
M10	43942.33
M10	43956.59
M10	43993.71
M10	44046.57
M10	44052.3
M10	44066.12
M10	44183.1
M10	44217.54
M10	44222.3
M10	44270.66
M10	44341.12
M10	44358.4
M10	44387.21
M10	44402.59
M10	44486.26
M10	44532.01
M10	44532.47
M10	44540.2
M10	44552.23
M10	44552.72
M10	44558.5
M10	44603.38
M10	44606.75
M10	44630.89
M10	44822.53
M10	44878.32
M10	44916.72
M10	44939.06
M10	44952.68
M10	45006.7
M10	45010.12
M10	45042.27
M10	45048.6
M10	45070.54
M10	45085.16
M10	45096.88
M10	45109.56
M10	45192.61
M10	45233.72
M10	45278.75
M10	45279.75
M10	45286.11
M10	45306.21
M10	45332.69
M10	45388.16
M10	45452.51
M10	45481.04
M10	45511.59
M10	45539.65
M10	45584.52
M10	45631.41
M10	45673.86
M10	45696.11
M10	45778.25
M10	45830.8
M10	45855.61
M10	45886.38
M10	45902.27
M10	45964.39
M10	46016.14
M10	46061.96
M10	46115.31
M10	46129.79
M10	46216.21
M10	46228.73
M10	46253.24
M10	46527.29
M10	46535.36
M10	46541.9
M10	46585.71
M10	46639.19
M10	46693.21
M10	46743.77
M10	46833.36
M10	46847.55
M10	46929.74
M10	46959.2
M10	46983.59
M10	47110.35
M10	47554.37
M10	47653.25
M10	47830.93
M10	48576.76
M10	48719.39
