id	dT_4_S4_L001	dT_4_S4_L002	dT_4_S4_L003	dT_4_S4_L004	dT_5_S5_L001	dT_5_S5_L002	dT_5_S5_L003	dT_5_S5_L004	dT_6_S6_L001	dT_6_S6_L002	dT_6_S6_L003	dT_6_S6_L004	rRNA_7_S7_L001	rRNA_7_S7_L002	rRNA_7_S7_L003	rRNA_7_S7_L004	rRNA_8_S8_L001	rRNA_8_S8_L002	rRNA_8_S8_L003	rRNA_8_S8_L004	rRNA_9_S9_L001	rRNA_9_S9_L002	rRNA_9_S9_L003	rRNA_9_S9_L004	Total_1_S1_L001	Total_1_S1_L002	Total_1_S1_L003	Total_1_S1_L004	Total_2_S2_L001	Total_2_S2_L002	Total_2_S2_L003	Total_2_S2_L004	Total_3_S3_L001	Total_3_S3_L002	Total_3_S3_L003	Total_3_S3_L004
LOC108862559	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	4	0	1	0	0
LOC108862602	0	0	0	1	0	0	0	0	2	0	1	0	0	0	1	1	0	1	0	0	0	0	1	1	1	0	1	3	0	0	0	0	0	0	0	0
LOC108862999	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	0	1	0	1	1	1	0	2	2	0	0	0	0	0	0	0	0	0
LOC108805067	2	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC108808482	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	3	0	0	0	2	0	0	0	0	0	0	1	0	1	2	0	0
LOC108808884	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	4	1	0	0	2	0	0	2	0	0
LOC108811617	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	4	0	0	1	0	1
LOC108814647	0	0	0	1	0	0	0	0	1	0	1	1	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
LOC108817547	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	0	1	1	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	0
LOC108817800	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	1	1	2	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0
LOC108818467	3	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC108819269	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	2	0	2	0	0	0	0	0	0	0	0	1	3	0	0
LOC108820275	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	3	0	1	0	0	0	0	0	1	2	0	1
LOC108821912	0	0	0	0	0	0	0	0	0	1	0	2	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	2	0	0
LOC108822488	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	4	0	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0
LOC108822519	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC108823575	2	2	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC108823585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	2	2	0	0	2	0	0	0	0	0	1	1	0	0
LOC108827316	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	1	0	1	0	0	0	1	2	2	0	0	1	0
LOC108827894	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	1	2	1
LOC108828035	0	0	1	0	0	0	0	0	1	0	1	3	1	0	1	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0
LOC108828246	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	2	0	1
LOC108828446	2	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
LOC108829064	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	1	2	0	1
LOC108831566	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	4	0	0	0	0	1	0	0	0	0	0	0
LOC108833102	1	0	0	0	1	1	0	1	2	1	0	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC108835197	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	3	2	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0
LOC108836129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC108836484	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	4	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	1
LOC108839868	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	2	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0
LOC108840173	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	3	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0
LOC108840693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	1	1	0	0	2	2	0	0	0	0	0	0	0	1
LOC108842115	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	1
LOC108842129	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	3	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
LOC108843089	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	1	1	0	3
LOC108844528	1	0	0	0	0	0	0	0	1	1	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0
LOC108844700	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	3	4	0	0	0	1	0	1	0	0	0	0	0	0
LOC108845231	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
LOC108845257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	1	0	3	0	0	0	0	0	0	0	2	0	1	1	0	0
LOC108847146	0	0	0	0	1	0	1	1	1	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0
LOC108847244	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	2	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC108847523	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	2	0	2	0	0	2	2	0	0
LOC108847745	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	2	0	2	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0
LOC108851604	0	0	0	0	0	1	2	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	1	0	0
LOC108852953	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	4	2	0
LOC108853769	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	4	1	0	2	0	0	0
LOC108853845	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	1	2	1	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0
LOC108854792	0	0	0	0	0	1	0	0	0	0	1	1	0	0	2	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1
LOC108855529	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	2	0	0	2	0	0	1	2	0
LOC108856870	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0
LOC108860715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	3	1	0	0	0	4
LOC108860829	1	2	1	1	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
LOC108861302	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	4	0	0	1	1	0	0	0	0	1	0	0	0	0
LOC108862978	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	7	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
LOC108863164	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
LOC108863278	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	2	0	3	0	0	0	0	0	0	0	0	2	0	0	0
LOC108805084	0	0	0	0	0	0	1	0	2	1	2	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
LOC108805963	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0
LOC108806734	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	1	1	0	0	1	0
LOC108807327	1	0	0	0	1	4	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
LOC108809116	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	1	0	0	3	0	1
LOC108809712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	1	2	3	0
LOC108809721	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	1	1	2	1	1	0	0
LOC108812381	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC108812570	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	0
LOC108813327	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	1	0
LOC108817452	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	4	1	0	0	0	0
LOC108817679	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	3	1	0	0	2	0	1	0	0	0	0	0	0	0	1
LOC108817921	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC108817932	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	2	1	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
LOC108819026	1	0	0	1	0	0	0	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
LOC108823987	0	0	0	0	0	0	0	0	0	0	2	1	0	3	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
LOC108824384	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	1	0	1
LOC108824606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	1	1	0	0	0	0	1	1	0	0	0	1	2
LOC108824781	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	1	0	2	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	1	0
LOC108827044	0	0	0	0	1	1	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	1	0	0	0	0
LOC108827373	0	0	1	0	1	2	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0
LOC108828094	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	4	0	0	1	1	0	0	1	0
LOC108828176	0	0	0	0	1	1	2	1	0	0	1	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC108828524	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	2	2	0	2
LOC108829010	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	2	0	1
LOC108830119	0	0	0	0	0	0	2	2	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC108830557	0	0	0	0	1	0	0	0	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0
LOC108830717	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	2	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC108831523	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	3	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC108833902	0	0	2	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0
LOC108834112	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	3
LOC108834533	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	2	0	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC108834540	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC108835813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	1	1	0	0	0	2	0	0	1	1	1	0	0	0
LOC108836016	0	0	0	0	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	1	1
LOC108837002	0	0	0	0	1	1	1	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0
LOC108837490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1	0	1	2	1	0	2	0	1
LOC108839354	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	4	0	0	0	0	0	0	1	1
LOC108839437	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	3
LOC108839986	0	0	0	0	0	0	0	0	4	1	1	0	0	1	0	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC108840659	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LOC108841657	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC108842510	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0
LOC108842835	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0
LOC108842946	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	3	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
LOC108843265	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	1	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0
LOC108843411	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	2	1	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0
LOC108844858	1	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0
LOC108845767	0	4	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LOC108846248	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	1	1	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
LOC108846313	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1
LOC108847118	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	1	0	0	2	1	0	0	0	0
LOC108847200	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC108847349	0	0	0	0	1	1	1	0	1	0	1	0	0	1	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LOC108847465	0	0	0	0	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	4	0	0	0	0	0
LOC108847589	1	1	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
LOC108847709	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0
LOC108847821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	0	2	0	0	1	1	2	1
LOC108848093	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
LOC108848396	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	3	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC108848599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	2	2	2
LOC108848917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	1	0	2	1	0	1	2
LOC108848954	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	4	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0
LOC108849482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2	0	0	2	2	0	0	0	0
LOC108850494	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	4	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC108852640	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	3	0	0
LOC108853900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0
LOC108854558	0	0	0	0	0	1	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	3	0	0	0	0	1
LOC108854679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	3	0	0	0	0	0	4
LOC108854904	0	0	0	0	0	1	2	1	1	0	1	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC108855413	0	0	0	0	0	0	0	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0
LOC108855474	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0
LOC108855484	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	2	1	0	0	2	1	0	1	0	1
LOC108855830	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	2	0	0	0	1	0
LOC108856420	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	1	0	2
LOC108856461	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	4	0	0
LOC108857510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	2	0	0	2	3	1	0	0	0
LOC108858123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0
LOC108858311	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC108858641	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
LOC108860554	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	2	0	0	1	0	0	1	0	2
LOC108861272	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	0	0
LOC108861490	3	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LOC108861533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	1	0	0	2	1	1	0	2	0
LOC108861626	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	2	2	0	0	0	1	0	0	0	1	0	0	0	0	0
LOC108862112	1	0	0	0	0	0	3	0	1	0	0	0	1	0	1	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0
LOC108862224	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	1	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0
LOC108863388	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0
LOC108863411	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	2	0	0	1	0	1	0
TRNAP_UGG_27	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	2	0	0	2	0	0
LOC108805863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	2	1	0	0	0	1	1	0	0	1	0
LOC108806063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	4	2	0	1
LOC108806300	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	2	0	0	0	0	2	0	0	0	0
LOC108806496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	2	0	0	0	3	1	0	0	0	0
LOC108806603	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2
LOC108807114	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0
LOC108807162	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0
LOC108807317	0	0	1	1	0	0	0	0	2	2	2	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC108807365	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	2	0	0	1	0	0	0	1	0	1
LOC108809723	0	0	0	0	0	1	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0
LOC108809787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	0	3	0	0	0	0	0	0
LOC108810186	0	0	0	1	1	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
LOC108811955	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	4	0	0
LOC108813790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC108814278	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0
LOC108814316	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0
LOC108814410	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	3
LOC108817047	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	2	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC108818210	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	0	1
LOC108818271	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	1	0	1	0	0	0	0
LOC108818972	0	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	1
LOC108820322	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	2	1	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0
LOC108820443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	2	0	1	1	1	2
LOC108822115	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0
LOC108822778	0	0	0	0	2	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2
